Code,Department Name,Undergrad Courses,Quality,Difficulty,Workload
CRWT,CRWT099: Honors Course II,,,0,0,Signup to reveal
EARS,EARS001: How the Earth Works,,SLA,101,68,Signup to reveal
EARS,EARS002: Evolution of Earth and Life,,SCI,67,43,Signup to reveal
EARS,EARS003: Elementary Oceanography,,SCI,37,8,Signup to reveal
EARS,EARS004: Dinosaurs,,,14,1,Signup to reveal
EARS,EARS005: Natural Disasters and Catastrophes,,SCI,64,3,Signup to reveal
EARS,EARS006.05: Modeling the Earth,,SLA,2,6,Signup to reveal
EARS,EARS006: Environmental Change,,SCI,67,43,Signup to reveal
EARS,EARS007.01: The Solar System,,SCI,0,0,Signup to reveal
EARS,EARS007.06: First-Year Seminars in Earth Sciences,,SCI,4,9,Signup to reveal
EARS,EARS007.07: Untold Stories in Geosci,,,1,0,Signup to reveal
EARS,EARS007: First-Year Seminars in Earth Sciences,,,22,2,Signup to reveal
EARS,EARS008: Carbon Sequestration: Opportunities and Challenges,,SCI,5,4,Signup to reveal
EARS,EARS009: Earth Resources,,SCI,3,4,Signup to reveal
EARS,EARS010: Carbon Sequestration,,SCI,2,-2,Signup to reveal
EARS,EARS012: Big Data Science in Hydrology,,TAS,3,3,Signup to reveal
EARS,EARS013: Introduction to Computational Methods in Earth Science,,TAS,2,4,Signup to reveal
EARS,EARS014: Meteorology,,SLA,12,16,Signup to reveal
EARS,"EARS015: Earth's Climate - Past, Present and Future",,SLA,12,4,Signup to reveal
EARS,EARS016: Hydrology and Water Resources,,TAS,1,1,Signup to reveal
EARS,EARS017: Analysis of Environmental Data,,QDS,1,1,Signup to reveal
EARS,EARS018: Environmental Geology,,TLA,4,10,Signup to reveal
EARS,EARS019: Habitable Planets,,SCI,0,1,Signup to reveal
EARS,EARS028: Macroevolution,,SCI,19,2,Signup to reveal
EARS,EARS031: Paleobiology,,,6,2,Signup to reveal
EARS,EARS032: Macroevolution,,SCI,1,0,Signup to reveal
EARS,EARS033: Earth Surface Processes and Landforms,,"SCI, SLA",8,4,Signup to reveal
EARS,EARS034: Earth’s Biogeochemical Cycles,,SCI,1,1,Signup to reveal
EARS,EARS035: The Soil Resource,,SLA,5,0,Signup to reveal
EARS,EARS036: Astrobiology,,SCI,9,-3,Signup to reveal
EARS,EARS037: Marine Geology,,SCI,8,1,Signup to reveal
EARS,EARS038: Introduction to Sedimentary Systems,,SCI,1,4,Signup to reveal
EARS,EARS040: Materials of the Earth,,SLA,4,7,Signup to reveal
EARS,EARS045: Field Methods: Techniques of Structural and Stratigraphic Analysis,,SLA,11,5,Signup to reveal
EARS,EARS046: Field Methods: Environmental Monitoring,,SLA,6,2,Signup to reveal
EARS,EARS047: Field Methods: Resource and Earth Hazards Assessment,,SLA,4,1,Signup to reveal
EARS,EARS051: Mineralogy and Earth Processes,,SLA,0,0,Signup to reveal
EARS,EARS052: Structural Geology,,SLA,0,0,Signup to reveal
EARS,EARS058: Stratigraphy and Sedimentary Petrology,,SLA,1,2,Signup to reveal
EARS,EARS059: Igneous and Metamorphic Petrology,,SLA,0,3,Signup to reveal
EARS,EARS062: Geochemistry,,SCI,6,1,Signup to reveal
EARS,EARS064: Geophysics,,"SCI, SLA",1,1,Signup to reveal
EARS,EARS065.01: Remote Sensing Environment,,TAS,0,2,Signup to reveal
EARS,EARS065: Remote Sensing,,TLA,0,1,Signup to reveal
EARS,EARS066.01: Environmental Transport and Fate,,,0,0,Signup to reveal
EARS,EARS066: Hydrogeology,,SCI,10,1,Signup to reveal
EARS,EARS067: Environmental Geomechanics,,SCI,3,2,Signup to reveal
EARS,EARS070: Glaciology,,QDS,4,4,Signup to reveal
EARS,EARS071: River Processes and Watershed Science,,SLA,0,0,Signup to reveal
EARS,EARS072: Geobiology,,SCI,1,3,Signup to reveal
EARS,EARS073: Environmental Isotope Geochemistry,,SLA,1,1,Signup to reveal
EARS,EARS074: Soils and Aqueous Geochemistry,,SCI,0,0,Signup to reveal
EARS,EARS075: Quaternary Paleoclimatology,,SCI,0,2,Signup to reveal
EARS,EARS076: Advance Hydrology,,TAS,2,2,Signup to reveal
EARS,EARS077: Environmental Applications of GIS,,TLA,2,4,Signup to reveal
EARS,EARS078: Climate Dynamics,,SCI,2,3,Signup to reveal
EARS,EARS079.01: Special Topics Seminar,,,0,0,Signup to reveal
EARS,EARS079: Special Topics,,,0,0,Signup to reveal
EARS,EARS080.02: Astrobiology,,SCI,0,0,Signup to reveal
EARS,EARS080.03: Technical Computation in the Earth Sciences,,SCI,0,0,Signup to reveal
EARS,EARS080.04: Special Topics - Data Analysis,,,0,0,Signup to reveal
EARS,EARS080: Special Topics,,,0,0,Signup to reveal
EARS,EARS086: Special Projects,,,0,0,Signup to reveal
EARS,EARS087: Special Projects: Senior Culminating Experiences,,,0,0,Signup to reveal
EARS,EARS088: The Earth System,,SLA,0,0,Signup to reveal
EARS,EARS089: Thesis Research I,,,0,0,Signup to reveal
EARS,EARS090: Thesis Research II,,,0,0,Signup to reveal
EARS,EARS091: Science Communication,,,0,0,Signup to reveal
EARS,EARS107: Mathematical Modeling of Earth Processes,,,0,0,Signup to reveal
EARS,EARS108: Radiogenic Isotope Geochemistry,,,0,0,Signup to reveal
EARS,EARS112: Big Data Science in Hydrology,,,0,0,Signup to reveal
EARS,EARS117: Analysis of Environmental Data,,,0,1,Signup to reveal
EARS,EARS118: Advanced Methods for Environmental Data Analysis,,,0,0,Signup to reveal
EARS,EARS119: Stable Isotope Geochemistry,,,0,0,Signup to reveal
EARS,EARS121: Graduate Seminar,,,0,0,Signup to reveal
EARS,"EARS124: Analytical Chemistry and Inorganic Instrumental Analysis (Identical to, and described under, Chemistry 124)",,,0,0,Signup to reveal
EARS,EARS128: Introduction to Polar Systems (Identical to BIOL 138),,,0,0,Signup to reveal
EARS,EARS131: Project Research,,,0,0,Signup to reveal
EARS,EARS141: Level I - Thesis Research (one-course equivalent),,,0,0,Signup to reveal
EARS,EARS142: Level II -Thesis Research (two-course equivalent),,,0,0,Signup to reveal
EARS,EARS143: Level III -Thesis Research (three-course equivalent),,,0,0,Signup to reveal
EARS,EARS145: Field Methods,,,0,0,Signup to reveal
EARS,EARS149: Supervised Teaching in Earth Sciences,,,0,0,Signup to reveal
EARS,EARS151: Mineralogy and Earth Processes,,,0,0,Signup to reveal
EARS,EARS152: Structural Geology (described under Earth Sciences 52),,,0,0,Signup to reveal
EARS,EARS158: Sedimentary Petrology (described under Earth Sciences 58),,,0,0,Signup to reveal
EARS,EARS159: Igneous and Metamorphic Petrology,,,0,1,Signup to reveal
EARS,EARS162: Geochemistry (described under Earth Sciences 62),,,0,0,Signup to reveal
EARS,EARS164: Geophysics (described under Earth Sciences 64),,,0,0,Signup to reveal
EARS,EARS165: Remote Sensing (described under Earth Sciences 65),,,0,0,Signup to reveal
EARS,EARS166: Hydrogeology,,,0,0,Signup to reveal
EARS,EARS167: Environmental Geomechanics (described under Earth Sciences 67),,,0,0,Signup to reveal
EARS,EARS170: Glaciology (described under Earth Sciences 70),,,0,0,Signup to reveal
EARS,EARS171: River Processes and Watershed Science (described under Earth Sciences 71),,,0,0,Signup to reveal
EARS,EARS172: Geobiology (described under Earth Sciences 72),,,0,0,Signup to reveal
EARS,EARS173: Environmental Isotope Geochemistry,,,0,0,Signup to reveal
EARS,EARS174: Soils and Aqueous Geochemistry,,,0,0,Signup to reveal
EARS,EARS175: Quaternary Paleoclimatology,,,0,0,Signup to reveal
EARS,EARS176: Advanced Hydrology,,,0,0,Signup to reveal
EARS,"EARS177: Environmental Applications of GIS (Identical to, and described under, Geography 59)",,,0,0,Signup to reveal
EARS,EARS178: Climate Dynamics,,,0,0,Signup to reveal
EARS,EARS179.01: Special Topics Seminar,,,0,0,Signup to reveal
EARS,EARS179: Special Topics,,,0,0,Signup to reveal
EARS,EARS201: Fundamentals and Pedagogy in Earth Sciences,,,0,0,Signup to reveal
EARS,EARS202: Critical Analysis in Earth Sciences,,,0,0,Signup to reveal
EARS,EARS203: Scientific Writing,,,0,0,Signup to reveal
EARS,EARS270: Topics in Ice and Climate (Graduate Seminar),,,0,0,Signup to reveal
EARS,EARS272: Topic in Historical Geobiology,,,0,0,Signup to reveal
EARS,EARS276: Topics in Earth Surface Processes (Graduate Seminar),,,0,0,Signup to reveal
EARS,EARS700: Responsible and Ethical Conduct of Research,,,0,0,Signup to reveal
ECON,ECON002: Economic Principles and Policies,,SOC,91,14,Signup to reveal
ECON,ECON003: Essential Math for Econ,,QDS,8,9,Signup to reveal
ECON,ECON005: Adam Smith and Political Economy,,"SOC, W",0,4,Signup to reveal
ECON,ECON010: Introduction to Statistical Methods,,QDS,275,44,Signup to reveal
ECON,ECON015: Political Economy of China,,"INT, SOC",12,9,Signup to reveal
ECON,ECON016: Political Economy of Regulation,,SOC,2,8,Signup to reveal
ECON,ECON017: Technological Progress and the Entrepreneurial Economy,,SOC,3,2,Signup to reveal
ECON,ECON020: Econometrics,,QDS,195,60,Signup to reveal
ECON,ECON021: Microeconomics,,SOC,269,80,Signup to reveal
ECON,ECON022: Macroeconomics,,SOC,283,143,Signup to reveal
ECON,ECON024: Development Economics,,"INT, SOC, NW",56,22,Signup to reveal
ECON,ECON025: Competition and Strategy,,SOC,50,14,Signup to reveal
ECON,ECON026: The Economics of Financial Intermediaries and Markets,,SOC,181,62,Signup to reveal
ECON,ECON027: Labor Economics,,SOC,32,16,Signup to reveal
ECON,ECON028: Public Finance and Public Policy,,SOC,88,33,Signup to reveal
ECON,ECON029: International Finance and Open-Economy Macroeconomics,,"INT, SOC",133,17,Signup to reveal
ECON,ECON032: Monetary Policy and the Macroeconomy,,SOC,7,7,Signup to reveal
ECON,ECON035: Games and Economic Behavior,,SOC,11,12,Signup to reveal
ECON,ECON036: Theory of Finance,,SOC,113,16,Signup to reveal
ECON,ECON037: Gender and Family Issues in Modern Economies,,SOC,8,16,Signup to reveal
ECON,ECON038: The Economics of Governments and Public Policy,,SOC,34,11,Signup to reveal
ECON,ECON039: International Trade,,"INT, SOC",151,66,Signup to reveal
ECON,ECON042: Topics in Macroeconomics,,"INT, SOC",0,0,Signup to reveal
ECON,ECON044: Topics in Developing Economics,,"INT, SOC, NW",6,-1,Signup to reveal
ECON,ECON045: Topics in Industrial Organization,,SOC,7,3,Signup to reveal
ECON,ECON046: Topics in Money and Finance,,SOC,31,5,Signup to reveal
ECON,ECON047: Topics in Labor Economics,,SOC,1,3,Signup to reveal
ECON,ECON048: Topics in Public Economics,,SOC,4,4,Signup to reveal
ECON,ECON049: Topics in International Economics,,"INT, SOC",16,3,Signup to reveal
ECON,ECON057: Data Analysis for Economic Policy: Economics of Career and Family,,SOC,0,0,Signup to reveal
ECON,ECON062: Topics in Macroeconomics,,"INT, SOC",0,0,Signup to reveal
ECON,ECON064: Topics in Developing Economics,,"INT, SOC, NW",5,1,Signup to reveal
ECON,ECON065: Topics in Industrial Organization,,SOC,0,1,Signup to reveal
ECON,ECON066: Topics in Money and Finance,,SOC,5,7,Signup to reveal
ECON,ECON067: Topics in Labor Economics,,SOC,2,1,Signup to reveal
ECON,ECON068: Topics in Public Economics,,SOC,4,4,Signup to reveal
ECON,ECON069: Topics in International Economics,,"INT, SOC",2,5,Signup to reveal
ECON,ECON070.01: The Transition of Poland to a Market Economy,,,0,1,Signup to reveal
ECON,"ECON070.02: China: The Country, The Companies and the People",,,0,0,Signup to reveal
ECON,ECON070.03: Macroeconomics Policy in Latin America: Argentina and Chile,,,2,6,Signup to reveal
ECON,ECON070: Immersion Experience in Applied Economics and Policy,,,0,1,Signup to reveal
ECON,ECON071: Health Economics and Policy,,"SOC, W",0,1,Signup to reveal
ECON,ECON073: The Political Economy of Development,,,0,0,Signup to reveal
ECON,ECON075: Environmental and Energy Economics,,,0,0,Signup to reveal
ECON,ECON076: Pandemics and Financial Crises,,"INT, SOC",5,-4,Signup to reveal
ECON,ECON077: Social Entrepreneurship,,"SOC, W",7,5,Signup to reveal
ECON,ECON078: Fed Challenge,,,0,4,Signup to reveal
ECON,ECON079: The Clash of Economic Ideas,,,0,0,Signup to reveal
ECON,ECON080: Advanced Topics in Econometrics,,SOC,13,7,Signup to reveal
ECON,ECON081: Advanced Topics in Microeconomics,,SOC,12,6,Signup to reveal
ECON,ECON082: Advanced Topics in Macroeconomics,,SOC,12,0,Signup to reveal
ECON,ECON085: Independent Study in Economics,,,0,0,Signup to reveal
ECON,ECON087.01: Senior Thesis in a Collaborative Setting,,,0,0,Signup to reveal
ECON,ECON087: Senior Thesis,,,0,0,Signup to reveal
EDUC,EDUC007.02: Reading Comprehension,,SOC,0,-1,Signup to reveal
EDUC,EDUC009.06: Children and Young Adult Literature: Reading Experiences in the K-8 Classroom,,,0,0,Signup to reveal
EDUC,"EDUC009.07: Higher Education in Crisis: Finance, Pedagogy and Policy",,,0,0,Signup to reveal
EDUC,EDUC009.08: Race and Education,,SOC,0,0,Signup to reveal
EDUC,EDUC013: Disability in Children's Literature,,SOC,0,0,Signup to reveal
EDUC,EDUC015: History and Theory of Human Development and Learning,,SOC,0,0,Signup to reveal
EDUC,EDUC016: Educational Psychology,,SOC,25,4,Signup to reveal
EDUC,EDUC017: What Works in Education?,,SOC,3,-2,Signup to reveal
EDUC,EDUC019: Educational Testing,,SOC,3,4,Signup to reveal
EDUC,EDUC020: Educational Issues Contemporary Society,,SOC,105,29,Signup to reveal
EDUC,EDUC024: Education and Inequality,,"SOC, W",1,1,Signup to reveal
EDUC,EDUC027: The Impact of Poverty on Education,,SOC,6,8,Signup to reveal
EDUC,EDUC029: Policy and Politics in American Education,,SOC,24,5,Signup to reveal
EDUC,EDUC030: Educational Psychology,,SOC,2,2,Signup to reveal
EDUC,EDUC032: Learning and Education Across Cultures,,,0,0,Signup to reveal
EDUC,EDUC033: Disability in Children's Literature,,,0,-1,Signup to reveal
EDUC,EDUC034: Adolescent Development and Education,,,0,0,Signup to reveal
EDUC,EDUC037: Language Development in Educational Contexts,,,0,0,Signup to reveal
EDUC,EDUC041: Teaching and Learning in Schools,,SOC,3,1,Signup to reveal
EDUC,EDUC042: Advanced Principles of Elementary Teaching,,,5,2,Signup to reveal
EDUC,EDUC043: Practice Teaching I - Elementary,,,0,0,Signup to reveal
EDUC,EDUC044: Practice Teaching II - Elementary,,,0,0,Signup to reveal
EDUC,EDUC045: Principles of Teaching and Learning in the Secondary School: Theory and Practice,,,6,1,Signup to reveal
EDUC,EDUC046: STEM and Education,,SOC,6,7,Signup to reveal
EDUC,EDUC047: Social and Emotional Development,,SOC,8,10,Signup to reveal
EDUC,EDUC048: Practice Teaching II - Secondary,,,1,1,Signup to reveal
EDUC,EDUC050: The Reading Brain: Education and Development,,SOC,10,-2,Signup to reveal
EDUC,EDUC051: Educational Testing,,SOC,20,3,Signup to reveal
EDUC,EDUC052: Topics in Educational Theory,,SOC,2,4,Signup to reveal
EDUC,EDUC055: Applying Cognitive Psychology to Education,,SOC,11,3,Signup to reveal
EDUC,EDUC056: STEM and Education,,SOC,4,3,Signup to reveal
EDUC,EDUC057: Social and Emotional Development,,SOC,2,3,Signup to reveal
EDUC,EDUC058: Language Acquisition and Development,,SOC,32,10,Signup to reveal
EDUC,EDUC059: Thinking About Thinking,,SOC,0,0,Signup to reveal
EDUC,EDUC060: Learning and Education Across Cultures,,SOC,3,3,Signup to reveal
EDUC,EDUC062: Adolescent Development and Education,,SOC,22,6,Signup to reveal
EDUC,EDUC064: Development in the Exceptional Child,,SOC,21,-2,Signup to reveal
EDUC,EDUC082: Adv Issues Contemp Educ'n,,SOC,0,0,Signup to reveal
EDUC,EDUC085: Independent Reading and Research,,SOC,0,0,Signup to reveal
EDUC,EDUC086: Independent Reading and Research: Research in the Schools,,SOC,0,0,Signup to reveal
EDUC,EDUC088: Seminar in Human Development and Education: The Changeable Brain,,SOC,7,2,Signup to reveal
ENGL,ENGL002: Literary History II: Literature from the mid-Seventeenth Century through the Nineteenth Century,,"LIT, W",34,9,Signup to reveal
ENGL,ENGL003: Literary History III: Literature in the Twentieth and Twenty-First Centuries,,"LIT, W",20,6,Signup to reveal
ENGL,ENGL005: Reading with Attitude,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL006: Narrative Journalism: Literature and Practice,,"LIT, W",5,4,Signup to reveal
ENGL,ENGL007.01: Narrating Slave Rebellion,,"INT, NW, LIT",0,0,Signup to reveal
ENGL,ENGL007.02: Toni Morrison,,LIT,0,0,Signup to reveal
ENGL,ENGL007.03: Focus on Hamlet,,,1,0,Signup to reveal
ENGL,ENGL007.04: Literature of the Machine,,"LIT, W",1,-1,Signup to reveal
ENGL,ENGL007.11: New American Short Story,,LIT,0,2,Signup to reveal
ENGL,ENGL007.16: Investigative Memoir,,LIT,2,7,Signup to reveal
ENGL,ENGL007.36: Immigr Wmn Wrtng in Amer,,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL007.37: Writing Into the Silence,,ART,0,0,Signup to reveal
ENGL,ENGL007.38: Carribean Lit in English,,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL007.39: War and Peace,,"LIT, W",0,-2,Signup to reveal
ENGL,ENGL007.40: Shakespeare's Non-dramatic,,"LIT, W",0,1,Signup to reveal
ENGL,ENGL007.41: Irish Identity and West Ire,,"INT, LIT, CI",0,0,Signup to reveal
ENGL,ENGL007.42: Five Canterbury Tales,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL007.43: Race and Popular Music,,"ART, CI",1,1,Signup to reveal
ENGL,ENGL007.44: Reading Jane Austen,,"LIT, W",7,8,Signup to reveal
ENGL,ENGL007.45: The Symptom,,TMV,0,0,Signup to reveal
ENGL,"ENGL007.46: Belonging, Migration, Exile",,LIT,1,5,Signup to reveal
ENGL,ENGL007.47: Tales of the Avant-Garde,,"LIT, W",2,0,Signup to reveal
ENGL,"ENGL007.48: Law, Literature and Justice",,"LIT, W",6,7,Signup to reveal
ENGL,ENGL007.49: Secret History,,LIT,1,2,Signup to reveal
ENGL,ENGL007.50: Writing Wild,,"LIT, W",0,0,Signup to reveal
ENGL,"ENGL007.51: Shakespeare: Community, Law",,"LIT, W",0,1,Signup to reveal
ENGL,ENGL007.52: Freud & Culture,,"W, TMV",0,1,Signup to reveal
ENGL,ENGL007.53: Ecopoetics,,,1,4,Signup to reveal
ENGL,ENGL007.54: The Future of the Book,,LIT,2,2,Signup to reveal
ENGL,ENGL007.55: Searching for Justice,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL007.56: Rethinking Ecopoetics,,ART,1,1,Signup to reveal
ENGL,ENGL007.57: Murder & Unbelonging in Lit,,,0,0,Signup to reveal
ENGL,ENGL007.58: Literatures of Human Rights,,,0,0,Signup to reveal
ENGL,ENGL007: First-Year Seminars in English,,,206,43,Signup to reveal
ENGL,ENGL010: Old English and Scandinavian Epic and Saga,,"LIT, W",12,4,Signup to reveal
ENGL,ENGL011: Chaucer: &quot;The Canterbury Tales&quot;,,"LIT, W",14,6,Signup to reveal
ENGL,ENGL012: Chaucer's &quot;Troilus and Criseyde&quot; and Other Poems,,,2,1,Signup to reveal
ENGL,ENGL013: Medieval English Literature,,"LIT, W",1,1,Signup to reveal
ENGL,ENGL014: Renaissance Poetry,,,8,2,Signup to reveal
ENGL,ENGL015: Shakespeare,,"LIT, W",71,27,Signup to reveal
ENGL,ENGL016: Renaissance Drama,,LIT,11,1,Signup to reveal
ENGL,ENGL017: Milton,,"LIT, W",16,8,Signup to reveal
ENGL,"ENGL018: Poetry, Prose, and Drama of the English Restoration, 1660-1689",,"LIT, W",27,2,Signup to reveal
ENGL,"ENGL019: Writing, Resistance, and (digital) Revolution",,"LIT, W",5,2,Signup to reveal
ENGL,ENGL020: Age of Satire,,,29,8,Signup to reveal
ENGL,ENGL021: Reason and Revolution,,"LIT, W",9,1,Signup to reveal
ENGL,ENGL022: The Rise of the Novel,,"LIT, W",20,8,Signup to reveal
ENGL,ENGL023: Romantic Literature: Aesthetics and Ideology from the French Revolution to Frankenstein,,"LIT, W",32,20,Signup to reveal
ENGL,"ENGL024: Victorian Literature and Culture, 1837-1859",,"LIT, W",83,22,Signup to reveal
ENGL,"ENGL025: Victorian Literature and Culture, 1860-1901",,"LIT, W",1,1,Signup to reveal
ENGL,ENGL026: Masterpieces of Nineteenth Century British Fiction,,"LIT, W",6,4,Signup to reveal
ENGL,"ENGL027: Tell It Slant: Female, Black, Queer Readings of Early American Poetry",,"LIT, W",14,0,Signup to reveal
ENGL,"ENGL028: Making Americans: Hipsters, Tricksters and Geniuses",,"LIT, W",8,1,Signup to reveal
ENGL,ENGL029: American Fiction to 1900,,"LIT, W",3,3,Signup to reveal
ENGL,ENGL030: Early Black American Literature,,,16,5,Signup to reveal
ENGL,ENGL031: Asian American Literature and Culture,,"LIT, CI",3,3,Signup to reveal
ENGL,ENGL032: Native American Literature,,"NW, LIT",0,2,Signup to reveal
ENGL,ENGL033: Modern Black American Literature,,"LIT, W",2,3,Signup to reveal
ENGL,ENGL034: From Anna Christie to Hamilton (and Donald Trump): Modern American Drama,,"LIT, W",36,19,Signup to reveal
ENGL,ENGL035: American Fiction: 1900 to World War II,,"LIT, W",2,-2,Signup to reveal
ENGL,ENGL036: Contemporary American Fiction,,"LIT, W",13,2,Signup to reveal
ENGL,ENGL037: Contemporary American Poetry,,"LIT, W",15,7,Signup to reveal
ENGL,ENGL038: American and British Poetry: 1900-1960,,"LIT, W",33,9,Signup to reveal
ENGL,ENGL039: Modern British Drama,,"LIT, W",4,1,Signup to reveal
ENGL,ENGL040: British Fiction: 1900 to World War II,,,19,4,Signup to reveal
ENGL,ENGL041: British Fiction: World War II to the Present,,,40,3,Signup to reveal
ENGL,ENGL042: Introduction to Postcolonial Literature,,"INT, NW, LIT",45,15,Signup to reveal
ENGL,ENGL043: Introduction to New Media,,,0,0,Signup to reveal
ENGL,ENGL044: Introduction to Digital Studies,,ART,2,2,Signup to reveal
ENGL,ENGL045: Introduction to Literary Theory,,LIT,12,10,Signup to reveal
ENGL,ENGL046: Old and New Media,,"LIT, W",17,3,Signup to reveal
ENGL,ENGL047: A History of the English Language,,"QDS, W",46,9,Signup to reveal
ENGL,ENGL048: Critical Issues in Postcolonial Studies,,"INT, NW, LIT",25,5,Signup to reveal
ENGL,"ENGL051.01: Plays, Playing, and Publicity",,"LIT, W",0,1,Signup to reveal
ENGL,ENGL051.02: Shakespeare's King Lear and Macbeth: Text and Film,,"LIT, W",1,0,Signup to reveal
ENGL,ENGL051.03: Hamlet & KingLear:Text&Film;,,LIT,0,0,Signup to reveal
ENGL,ENGL051.04: Stories At the Edge of the World: Conquest and Contact in the Age of Shakespeare,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL051.13: Gender and Power in Shakespeare,,"LIT, W",1,1,Signup to reveal
ENGL,ENGL052.01: Whitman and Dickinson,,,0,0,Signup to reveal
ENGL,ENGL052.02: The Civil War in Literature,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL052.03: Dave the Potter: Slavery Between Pots and Poems,,ART,0,1,Signup to reveal
ENGL,ENGL052.04: The American Renaissance at Dartmouth,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL052.05: Desire and Difference in 19th Century British Fiction,,"LIT, W",0,2,Signup to reveal
ENGL,ENGL052.06: Media & Monstrosity,,"LIT, W",3,1,Signup to reveal
ENGL,ENGL052.10: Vox Clamantis: Wilderness in 19thC American Literature,,"LIT, W",2,-2,Signup to reveal
ENGL,ENGL052.11: Daniel Webster and the Dartmouth College Case,,TMV,0,1,Signup to reveal
ENGL,ENGL052.13: The Victorians Through Six Children's Novels,,,0,0,Signup to reveal
ENGL,ENGL052.15: Transatlantic Gothic,,,0,0,Signup to reveal
ENGL,"ENGL052.16: God, Darwin, and the Literary Imagination",,"W, TMV",0,8,Signup to reveal
ENGL,ENGL052.17: Victorian Children's Literature: Fairytale and Fantasy,,"LIT, W",2,10,Signup to reveal
ENGL,ENGL052.18: Netflix and the Victorian Serial Novel,,"LIT, W",3,5,Signup to reveal
ENGL,ENGL052.21: Popular Fiction and the Culture of Empire,,LIT,0,0,Signup to reveal
ENGL,ENGL053.04: Telling Stories for Social Change,,"ART, CI",0,1,Signup to reveal
ENGL,"ENGL053.05: Writing Dublin: On Saints, Sinners, and Rebels",,"LIT, W",0,0,Signup to reveal
ENGL,ENGL053.06: Women's Literature and Technologies of Transmission from the Long Nineteenth Century to the Present,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL053.07: Black Noir,,"LIT, W",0,1,Signup to reveal
ENGL,ENGL053.08: Weird Fiction and the Limits of the Human,,"LIT, W",1,1,Signup to reveal
ENGL,ENGL053.10: Immigrant Women Writing in America,,"LIT, W",0,1,Signup to reveal
ENGL,ENGL053.15: The Bloomsbury Group,,,0,0,Signup to reveal
ENGL,ENGL053.16: African Literatures: Masterpieces of Literature from Africa,,"INT, NW, LIT",0,2,Signup to reveal
ENGL,ENGL053.17: The Graphic Novel,,"LIT, W",2,6,Signup to reveal
ENGL,ENGL053.18: The Harlem Renaissance,,,0,0,Signup to reveal
ENGL,ENGL053.19: Faulkner,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL053.20: Indian Killers: Murder and Mystery in Native Literature and Film,,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL053.22: Science Fiction Studies,,LIT,1,0,Signup to reveal
ENGL,ENGL053.23: Caribbean Lyric and Literature,,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL053.25: Contemporary Native American Poetry,,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL053.26: From More Fun to Fun Home: A History of the U.S. Comic Book,,,0,0,Signup to reveal
ENGL,ENGL053.27: The African American 1960s,,,0,0,Signup to reveal
ENGL,ENGL053.28: James Baldwin: From the Civil Rights Movement to Black Lives Matter,,"INT, SOC, CI",0,0,Signup to reveal
ENGL,ENGL053.29: Introduction to African American Environmental Thought: The Black Outdoors,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL053.30: Women Writing Memoir,,"INT, NW, LIT, W",0,0,Signup to reveal
ENGL,ENGL053.32: Literature and Culture of the Americas,,"INT, LIT, W",1,-1,Signup to reveal
ENGL,ENGL053.33: Gender and Sexuality in Asian American Literature,,LIT,0,2,Signup to reveal
ENGL,ENGL053.34: The Wire,,LIT,0,0,Signup to reveal
ENGL,ENGL053.35: From Diaspora Practices to Theory,,"LIT, CI",0,1,Signup to reveal
ENGL,ENGL053.36: Game of Thrones: Re-Imagining Medieval History as an Allegory of the Present,,"LIT, W",0,5,Signup to reveal
ENGL,ENGL053.37: Global Comic Strip,,"LIT, W",0,0,Signup to reveal
ENGL,"ENGL053.38: Narratives of Un-belonging: Bad Asians, Queer Texts",,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL053.39: Haunted Houses in American Literature,,"LIT, W",0,6,Signup to reveal
ENGL,ENGL053.40: The Historical Philosophy of W.E.B. Dubois,,,0,-1,Signup to reveal
ENGL,ENGL053.41: Black Love & Its Discontents: Barry Jenkins,,"ART, CI",0,1,Signup to reveal
ENGL,"ENGL053.42: Postmodern&quot; Britain: Fictions of Pluralism, Dystopia (and Brexit)",,"LIT, W",0,2,Signup to reveal
ENGL,"ENGL053.43: Race and Modernity: W.E.B. DuBois, James Baldwin, Lorraine Hansberry",,"LIT, W",0,3,Signup to reveal
ENGL,ENGL053.44: Indians in American Literature,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL053.45: Storytelling in Novels and Community,,"LIT, W",0,0,Signup to reveal
ENGL,ENGL053.46: New York and the Metropolitan Imagination in Twentieth-Century American Jewish Literature,,"LIT, CI",0,0,Signup to reveal
ENGL,ENGL053.47: African Diaspora Women Writers,,"LIT, CI",1,5,Signup to reveal
ENGL,ENGL053.48: Poetry for the People,,,0,1,Signup to reveal
