Code,Department Name,Undergrad Courses,Quality,Difficulty,Workload
AAAS,AAAS054.05: Feminist & Queer Africa,,"NW, ART",0,2,Signup to reveal
AAAS,AAAS054: Postcolonial African Drama,,"NW, ART",0,0,Signup to reveal
AAAS,AAAS055.01: African Cinema,,,0,0,Signup to reveal
AAAS,AAAS055.02: The Idea of Africa,,"NW, ART",0,-2,Signup to reveal
AAAS,AAAS055: African Cinema,,,4,1,Signup to reveal
AAAS,AAAS056: The African Political Novel,,"NW, LIT",0,1,Signup to reveal
AAAS,AAAS060.01: Plantations and Slavery in the Americas,,"SOC, W",0,0,Signup to reveal
AAAS,AAAS060.05: Racial Geographies: Race and the Politics of Place,,"SOC, CI",0,0,Signup to reveal
AAAS,AAAS060.50: Racial Geographies: Race and the Politics of Place,,"SOC, CI",1,1,Signup to reveal
AAAS,AAAS060: Slavery and Emancipation in Latin America and the Caribbean,,"INT, SOC, NW",0,1,Signup to reveal
AAAS,AAAS061.05: Black Agrarian Democracy: Haitian History from Revolution to the Fall of the Duvalier Dictatorship,,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS061: Caribbean History: 1898 to the present,,"INT, SOC, NW",0,0,Signup to reveal
AAAS,AAAS062.50: Maroons to Marley: Jamaica's Role in Worldwide Revolutions from Slavery to the Present Day,,SOC,0,0,Signup to reveal
AAAS,"AAAS062.75: Race, Gender, & Revolution in the Atlantic World",,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS062: Nationalism and Revolution in the Caribbean,,"INT, SOC, NW",2,1,Signup to reveal
AAAS,AAAS063: Race Matters - Race Made to Matter,,"SOC, CI",0,0,Signup to reveal
AAAS,AAAS064: Afro/Black Europe,,"INT, SOC, CI",0,0,Signup to reveal
AAAS,"AAAS065.01: Revolutionary Imagination: Religion, Modernity, and the Otherwise",,TMV,0,0,Signup to reveal
AAAS,AAAS065.06: Jews and Race,,"INT, W, TMV",0,0,Signup to reveal
AAAS,"AAAS065.65: Silence, Exile, and Cunning: Comparing Jewish and African Diasporic Literatures",,"NW, LIT",1,-1,Signup to reveal
AAAS,AAAS065: Introduction to Postcolonial Literature,,"INT, NW, LIT",0,2,Signup to reveal
AAAS,"AAAS066: B/black Migration: Diversity, Identity, and Solidarity Politics in the U.S. and Beyond",,,0,0,Signup to reveal
AAAS,AAAS067.06: African Diaspora Women Writers,,"LIT, CI",0,2,Signup to reveal
AAAS,"AAAS067.09: Self, Subject, Photography",,"ART, CI",0,1,Signup to reveal
AAAS,AAAS067.50: Black Consciousness and Black Feminisms,,"SOC, CI",0,1,Signup to reveal
AAAS,AAAS067.80: Black Queer & Trans Futures: An Experiment,,"SOC, CI",0,0,Signup to reveal
AAAS,AAAS067: Colonial and Postcolonial Masculinities,,,3,1,Signup to reveal
AAAS,AAAS068.08: Afro/Black Paris in Film and Life,,"INT, SOC, CI",1,3,Signup to reveal
AAAS,"AAAS068.10: Race, Gender and Class in ""Postcolonial"" France: Memories, Space, Time, and Intersectionality",,"SOC, CI",0,2,Signup to reveal
AAAS,AAAS068.20: Decolonizing the Museum: An Introduction to Art from Africa and the African Diaspora in French Mus,,"INT, SOC, CI",0,1,Signup to reveal
AAAS,AAAS068: Afro/Black Paris,,"INT, SOC, CI",1,2,Signup to reveal
AAAS,AAAS069: The Politics of Beauty and the Black Female Body,,,0,0,Signup to reveal
AAAS,"AAAS080.05: 10 Weeks, 10 Professors: #BlackLivesMatter",,"SOC, CI",0,0,Signup to reveal
AAAS,AAAS080.06: Civil Rights in the United States in the 20th Century,,"SOC, CI",0,-1,Signup to reveal
AAAS,"AAAS080.07: Race, Media, Celebrity",,"ART, CI",0,0,Signup to reveal
AAAS,AAAS080.08: African American Religion and Culture in Jim Crow America,,"ART, CI",0,1,Signup to reveal
AAAS,AAAS080.09: Carceral Geographies: Explaining Mass Incarceration in the US,,SOC,0,1,Signup to reveal
AAAS,AAAS080.10: The Historical Philosophy of W.E.B. DuBois,,,0,-1,Signup to reveal
AAAS,AAAS081.01: The Black Arts Movement,,"LIT, W",0,3,Signup to reveal
AAAS,AAAS081.05: Telling Stories for Social Change,,"ART, CI",0,0,Signup to reveal
AAAS,AAAS081.06: African-American Music,,"ART, CI",0,0,Signup to reveal
AAAS,AAAS081.07: Black Noir,,"LIT, W",0,0,Signup to reveal
AAAS,AAAS081.10: James Baldwin: From the Civil Rights Movement to Black Lives Matter,,"INT, SOC, CI",0,0,Signup to reveal
AAAS,AAAS081: The Black Arts Movement,,,0,0,Signup to reveal
AAAS,AAAS082.01: Religion and the Civil Rights Movement,,"SOC, CI",0,0,Signup to reveal
AAAS,AAAS082.05: Dave the Potter: Slavery Between Pots and Poems,,ART,0,1,Signup to reveal
AAAS,AAAS082.10: Queer Literatures of Slavery,,"LIT, CI",0,1,Signup to reveal
AAAS,AAAS083.02: Food and the African World,,,0,0,Signup to reveal
AAAS,AAAS083.05: African Religions of the Americas,,,0,0,Signup to reveal
AAAS,AAAS083.06: Caribbean Lyric and Literature,,"LIT, CI",0,0,Signup to reveal
AAAS,AAAS083.07: Cuba in the Black Atlantic: Slavery and Its Legacies,,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS083.08: The Global Caribbean,,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS085.01: South African Literature in English,,"LIT, CI",0,0,Signup to reveal
AAAS,AAAS086.03: Affirmative Action in Brazil,,,0,0,Signup to reveal
AAAS,"AAAS086.04: Social, Political, and Cultural Trends in Contemporary Brazil",,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS087.05: Politics of Africa,,"INT, SOC, NW",0,0,Signup to reveal
AAAS,AAAS087.06: 20th Century African Art,,,0,0,Signup to reveal
AAAS,AAAS087.07: Globalization and the African Continent,,"INT, SOC, CI",0,0,Signup to reveal
AAAS,AAAS087.08: Indigenous Slavery in Ghana and Africa,,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS087.09: African Popular Culture,,"SOC, NW",2,2,Signup to reveal
AAAS,AAAS087.10: Afropop!,,"NW, ART",0,0,Signup to reveal
AAAS,AAAS087.11: Language in Africa,,"SOC, NW",0,0,Signup to reveal
AAAS,AAAS087.12: Africa's Time? An Interdisciplinary Survey of Temporality and Power,,"SOC, NW",3,2,Signup to reveal
AAAS,AAAS088.02: Women and Gender in the African Diaspora,,,0,0,Signup to reveal
AAAS,AAAS088.06: The 1970s: Decolonization and Diaspora,,,0,0,Signup to reveal
AAAS,AAAS088.07: Afro-Diasporic Dialogues: Latin America and the U.S.,,,0,0,Signup to reveal
AAAS,AAAS088.08: Ethnography of Violence,,"INT, SOC, NW",0,0,Signup to reveal
AAAS,AAAS088.11: Atlantic Slavery/Atlantic Freedom,,"NW, LIT",0,0,Signup to reveal
AAAS,AAAS088.12: From Diaspora Practices to Theory,,"LIT, CI",0,1,Signup to reveal
AAAS,AAAS088.13: Women Writing Memoir,,"INT, NW, LIT",0,0,Signup to reveal
AAAS,"AAAS088.14: Cities, Subjects & Sonic Africa",,"NW, ART",1,0,Signup to reveal
AAAS,"AAAS088.15: Black Women's Activism, 1970-present",,"SOC, CI",0,1,Signup to reveal
AAAS,"AAAS088.16: Sovereignty, Race, and Rights",,"INT, SOC, NW",3,0,Signup to reveal
AAAS,AAAS088.17: Filmmaking and Visual Culture,,"SOC, NW",0,1,Signup to reveal
AAAS,AAAS088.18: Black Feminisms in the French Atlantic,,"INT, CI",0,0,Signup to reveal
AAAS,AAAS088.19: Contemporary African American Visual Artists,,"ART, W",1,-1,Signup to reveal
AAAS,AAAS088.20: Music and the Racial Imagination,,"NW, ART",0,0,Signup to reveal
AAAS,AAAS088.21: Introduction to AAAS Diaspora Studies,,"INT, CI",0,2,Signup to reveal
AAAS,AAAS089: Independent Study in African and African American Studies,,,0,0,Signup to reveal
AAAS,AAAS090.01: Identity and Power in the Americas,,"INT, W",1,1,Signup to reveal
AAAS,AAAS090.02: Prophetism in the Black World,,"TMV, CI",0,0,Signup to reveal
AAAS,AAAS090.03: Afro-Diasporic Dialogues: Latin America and the U.S.,,,0,0,Signup to reveal
AAAS,AAAS090.07: From Africans to African Americans: Perspectives on the Creation of African Diasporas,,"INT, SOC, NW",0,0,Signup to reveal
AAAS,AAAS090.08: Afro/Black Europe,,,0,1,Signup to reveal
AAAS,AAAS090.09: Carceral Geographies: Explaining Mass Incarceration in the US,,,0,0,Signup to reveal
AAAS,AAAS090.10: Modern Black Spiritualities,,"INT, TMV, CI",0,0,Signup to reveal
AAAS,AAAS091.01: The Harlem Renaissance,,,0,0,Signup to reveal
AAAS,AAAS091.02: 20th Century Protest Poetry,,"LIT, CI",0,0,Signup to reveal
